f_id,item,veg_or_non_veg
fd8076,Spicy Baked Chicken Wings (4 pc),Non-veg
fd8077,Indi Rockin Roll Non Veg,Non-veg
fd8078,Garlic Bread Spicy Supreme,Veg
fd8079,Zesty Paneer Pocket,Veg
fd8080,Zesty Chicken Pocket,Non-veg
fd8081,Veg Mayonnaise Dip,Veg
fd8083,Creamy Mushroom Pasta,Veg
fd8084,Cheesy Comfort,Veg
fd8085,Cheesy Comfort - Non Veg,Non-veg
fd8086,Spiced Tomato Twist Veg,Veg
fd8087,Spiced Tomato Twist Non Veg,Non-veg
fd8088,Funtastic 4 (Veg) with Choco Sundae,Veg
fd8089,Funtastic 4 with Choco Sundae,Non-veg
fd8090,Rockin Roll & Cone - Veg,Veg
fd8091,Rockin Roll & Cone - Non Veg,Non-veg
fd8092,Water Bottle - 1000ml,Veg
fd8093,7up Pet Bottle,Veg
fd8094,Mirinda Pet Bottle,Veg
fd8096,Mutton Korma,Non-veg
fd8097,Mutton Khada Masala,Non-veg
fd8098,Chicken Smoky,Non-veg
fd8103,Veg Junction Spl.soup,Veg
fd8106,Non Veg Clear Soup,Non-veg
fd8107,Non Veg Hot And Sour Soup,Non-veg
fd8108,Non Veg Junction Spl.soup,Non-veg
fd8110,Non Veg Sweet Corn Soup,Non-veg
fd8111,Garlic Paneer Dry,Veg
fd8112,Ginger Paneer Dry,Veg
fd8113,Kung Pao Paneer,Veg
fd8114,Paneer Chilli Dry,Veg
fd8117,Crispy American Corn Chilli Pepper,Veg
fd8118,Crispy American Corn Salt And Pepper,Veg
fd8119,Crispy Babycorn Chilli,Veg
fd8120,Crispy Babycorn Salt And Pepper,Veg
fd8121,Crispy Chana Chilly,Veg
fd8122,Crispy Chana Salt And Pepper,Veg
fd8124,Crispy Mushroom Salt And Pepper,Veg
fd8125,Kum Pao Paneer Dry,Veg
fd8126,Paneer Manchurian Dry,Veg
fd8127,Sichuan Paneer Dry,Veg
fd8130,Chilli Chicken Dry,Non-veg
fd8131,Garlic Chicken Dry,Non-veg
fd8133,Barbeque Chicken Dry,Non-veg
fd8135,Kum Pao Chicken Dry,Non-veg
fd8137,Drums Of Heaven,Non-veg
fd8138,Barbeque Fish Dry,Non-veg
fd8139,Fish Chilli Dry,Non-veg
fd8140,Fish Salt And Pepper,Non-veg
fd8141,Garlic Fish Dry,Non-veg
fd8142,Ginger Fish Dry,Non-veg
fd8143,Kum Pao Fish Dry,Non-veg
fd8144,Lemon Fish Dry,Non-veg
fd8145,Prawn Chilli Dry,Non-veg
fd8146,Mushroom Tikka Hyderabadi,Veg
fd8147,Paneer Angaara Tikka,Veg
fd8148,Paneer Tikka Hyderabadi,Veg
fd8149,Mushroom Tikka Saslik,Veg
fd8150,Paneer Tikka Saslik,Veg
fd8151,Stuffed Mushroom Tikka,Veg
fd8152,Stuffed Paneer Tikka,Veg
fd8154,Murg Tangdi Kebab,Non-veg
fd8156,Abu Chilli Kebab,Non-veg
fd8157,Lehsuni Murg Tikka,Non-veg
fd8158,Murg Malai Kebab,Non-veg
fd8159,Garlic Paneer Gravy,Veg
fd8160,Paneer Chilli Gravy,Veg
fd8161,Paneer Manchurian Gravy,Veg
fd8163,Chicken Manchurian Gravy,Non-veg
fd8164,Chilli Chicken Gravy,Non-veg
fd8165,Garlic Chicken Gravy,Non-veg
fd8166,Ginger Chicken Gravy,Non-veg
fd8167,Sichuan Chicken Gravy,Non-veg
fd8168,Cantonese Chicken Gravy,Non-veg
fd8170,Cantonese Fish Gravy,Non-veg
fd8171,Chilli Fish Gravy,Non-veg
fd8172,Fish Manchurian Gravy,Non-veg
fd8173,Garlic Fish Gravy,Non-veg
fd8174,Ginger Fish Gravy,Non-veg
fd8175,Hunan Fish Gravy,Non-veg
fd8176,Prawn Chilli Gravy,Non-veg
fd8177,Sichuan Fish Gravy,Non-veg
fd8183,Paneer Tawa Pyaza,Veg
fd8184,Birbal Ki Handi,Veg
fd8185,Subz Makhani,Veg
fd8186,Veg Jhalfarezi,Veg
fd8187,Veg Kholapuri,Veg
fd8188,Veg Korma,Veg
fd8195,Veg Diwani Handi,Veg
fd8196,Kumbh Mutter Paneer,Veg
fd8198,Mushroom Takatak,Veg
fd8199,Mushroom Tawa Masala,Veg
fd8203,Murg Butter Masala Bone,Non-veg
fd8204,Murg Butter Masala Tandoori,Non-veg
fd8205,Murg Curry,Non-veg
fd8206,Murg Do Pyaza,Non-veg
fd8207,Murg Kasha,Non-veg
fd8208,Murg Masala,Non-veg
fd8209,Murg Kadhai,Non-veg
fd8210,Murg Lababdar Bone,Non-veg
fd8211,Murg Bharta,Non-veg
fd8212,Murg Korma,Non-veg
fd8213,Murg Punjabi Bone,Non-veg
fd8214,Murg Lababdar Tandoori,Non-veg
fd8215,Murg Punjabi Tandoori,Non-veg
fd8216,Abu Chilli Masala,Non-veg
fd8217,Malai Kabab Masala,Non-veg
fd8218,Murg Butter Masala Tikka,Non-veg
fd8219,Murg Lababdar Tikka,Non-veg
fd8220,Murg Punjabi Tikka,Non-veg
fd8221,Murg Takatak Tandoori,Non-veg
fd8222,Murg Takatak Tikka,Non-veg
fd8223,Murg Tikka Tawa Masala,Non-veg
fd8224,Tangdi Masala,Non-veg
fd8225,Murgh Patiyala.,Non-veg
fd8230,Veg Spring Rice,Veg
fd8231,Egg Spring Rice,Non-veg
fd8232,Chicken Spring Rice,Non-veg
fd8233,Non Veg Mix Fried Rice,Non-veg
fd8234,Non Veg Mix Spring Rice,Non-veg
fd8235,Mix Veg Hakka Noodles,Veg
fd8236,Mix Veg Schezwan Hakka Noodles,Veg
fd8237,Sichuan Veg Hakka Noodles,Veg
fd8240,Sichuan Egg Hakka Noodles,Non-veg
fd8242,Non Veg Mix Hakka Noodles,Non-veg
fd8243,Non Veg Mix Schezwan Hakka Noodles,Non-veg
fd8244,Sichuan Chicken Hakka Noodles,Non-veg
fd8252,Chicken Pulao,Non-veg
fd8254,Veg Fried Momo,Veg
fd8255,Veg Momo,Veg
fd8256,Pan Fried Veg Momos,Veg
fd8257,Tandoori Veg Momo,Veg
fd8258,Chicken Fried Momo,Non-veg
fd8259,Chicken Momo,Non-veg
fd8260,Pan Fried Chicken Momos,Non-veg
fd8261,Tandoori Chicken Momo,Non-veg
fd8267,Stuffed Kulcha Plain,Veg
fd8269,Stuffed Kulcha Butter,Veg
fd8279,Egg Mushroom Roll,Non-veg
fd8280,Egg Paneer Roll,Non-veg
fd8281,Single Egg Double Chicken Roll,Non-veg
fd8282,Double Egg Double Chicken Roll,Non-veg
fd8285,Aloo Biryani (Half),Veg
fd8287,Chicken Biryani with Egg,Non-veg
fd8288,Mutton Biryani with Egg,Non-veg
fd8289,Chicken Chaap,Non-veg
fd8290,Mutton Chaap,Non-veg
fd8299,Egg,Non-veg
fd8300,Aaloo Extra,Veg
fd8301,Chicken,Non-veg
fd8302,Mutton,Non-veg
fd8303,Salad,Non-veg
fd8307,Chicken Egg Roll,Non-veg
fd8308,Double Egg Chicken  Roll,Non-veg
fd8309,Double Egg Double Chicken  Roll,Non-veg
fd8310,Classic Fries,Veg
fd8311,Chilli Cheese Fury Fries,Veg
fd8313,Screaming Schezwan Cheese Fries,Veg
fd8314,Cheese Mayo Blaster Fries,Veg
fd8315,Mexican Cheese Fries,Veg
fd8316,Mexican Fries,Veg
fd8317,Chicken Beast Fries,Non-veg
fd8318,Fried Chicken Fries,Non-veg
fd8319,Veg Tandoori Burger,Veg
fd8320,Chilli Garlic Veg Burger,Veg
fd8321,American Chicken Burger,Non-veg
fd8323,Hulk Chicken Burger,Non-veg
fd8324,New Double F Chicken Burger( No Bun Burger),Non-veg
fd8325,Cheesy Nachos,Veg
fd8326,Lemon Iced Tea,Veg
fd8328,Blue Lagoon,Veg
fd8330,Crispy Fried Chicken Fingers (Strips),Non-veg
fd8331,Crispy Fried Chicken Wings (Bone),Non-veg
fd8336,Barbeque Beast Fries,Veg
fd8337,El Toro Fries,Veg
fd8339,Dare Devil Fries,Veg
fd8341,Bollywood Tandoori Fries,Veg
fd8344,Chicken Tandoori Fries,Non-veg
fd8346,American Chicken Fries,Non-veg
fd8347,Chicken Mustard Fries,Non-veg
fd8348,Origional Veg Burger,Veg
fd8351,Maxican Chipotle Burger,Veg
fd8352,New Panco Fish Burger,Non-veg
fd8358,Frachos( Fries + Nachos),Veg
fd8359,Chunky American Nachos,Veg
fd8360,Yummerican Nachos (Fries),Veg
fd8361,Fried Chicken Nachos,Non-veg
fd8362,Chicken Nuggets Nachos,Non-veg
fd8365,Peach Iced Tea,Veg
fd8366,Green Apple Cooler,Veg
fd8368,Peach Lemonade,Veg
fd8370,Potato tornado,Veg
fd8371,Potato Mayo Cheese Tornado,Veg
fd8372,Potato Cheese Chilli Tornado,Veg
fd8373,Potato Tornado Cheese Blast,Veg
fd8374,Cold Coffee Turbo Shake,Veg
fd8375,Super Oreo Chocolate Shake,Veg
fd8376,Hazelnut Shake,Veg
fd8377,Swiss Chocolate Shake,Veg
fd8378,Frappe Butterscotch Shake,Veg
fd8379,Frappe Vanilla Shake,Veg
fd8380,Classic Strawberry Shake,Veg
fd8381,Strawberry Bubble Gum Shake,Veg
fd8382,Super Mango Shake,Veg
fd8387,Snicker Chocolate Shake,Veg
fd8388,Classic Belgium Waffle,Veg
fd8389,Hazelnut Chocolate Waffle,Veg
fd8390,The Nutella Waffle,Veg
fd8391,The Ultimate Chocolate Waffle,Veg
fd8392,Waffle Sandwich,Veg
fd8393,Vanilla Waffle Sandwich,Veg
fd8394,Nutella Waffle Sandwich,Veg
fd8395,Chocolate Waffle Sandwich,Veg
fd8396,Hazelnut Waffle Sandwich,Veg
fd8397,Strawberry Waffle Sandwich,Veg
fd8400,Peri Peri Chicken Pop Corn,Non-veg
fd8401,Chicken Nuggets (6 Pcs),Non-veg
fd8402,Chicken Fingers (6 Pcs),Non-veg
fd8403,Fish & Chips,Non-veg
fd8405,Caramel Pancake,Veg
fd8406,Chocolate Honey Pancake,Veg
fd8407,Strawberry Banana Pancake,Veg
fd8408,Hazelnut Chocolate Pancake,Veg
fd8409,Exotic Match Time Special 2,Non-veg
fd8410,Exotic Burger Combo 1,Veg
fd8411,Exotic Match Time Special 1,Veg
fd8412,Exotic Match Time Special 3,Non-veg
fd8413,Exotic Match Time Special 4,Veg
fd8416,Veg Hot N Sour Soup,Veg
fd8420,Veg Brown Classic Soup,Veg
fd8427,Fish Fry (2 Pcs),Non-veg
fd8428,Fish Fingers (8 Pcs),Non-veg
fd8430,American Corn Salt N Pepper Dry,Veg
fd8431,American Corn Chilli Dry,Veg
fd8432,Crispy Chilli Baby Corn Dry,Veg
fd8433,Baby Corn Salt & Pepper Dry,Veg
fd8434,Chilli Chana Dry,Veg
fd8435,Chana Salt & Pepper Dry,Veg
fd8436,Mushroom Salt N Pepper Dry,Veg
fd8439,Honey Chilli Potato Dry,Veg
fd8443,Paneer Schezwan Gravy,Veg
fd8446,Paneer Salt N Pepper Dry,Veg
fd8447,Tandoori Paneer Chilli,Veg
fd8450,Boneless Chilli Chicken,Non-veg
fd8454,Tandoori Chilli Chicken,Non-veg
fd8457,Chicken Salt N Pepper Dry,Non-veg
fd8460,Honey Chicken Dry,Non-veg
fd8461,Let Me Kai Chicken Dry,Non-veg
fd8462,Chilli Garlic Pepper Chicken Dry,Non-veg
fd8463,Honey Garlic Pepper Chicken Dry,Non-veg
fd8464,Chicken Schezwan Gravy,Non-veg
fd8465,Basil Chicken Dry,Non-veg
fd8466,Dragon Chicken Dry,Non-veg
fd8468,Special Chilli Chicken Gravy,Non-veg
fd8470,Manchurian Fish (SG),Non-veg
fd8472,Boneless Fish Amritsari Dry (6 Pcs),Non-veg
fd8473,Chilli Prawns,Non-veg
fd8474,Golden Fried Prawns,Non-veg
fd8475,Garlic Prawns Gravy,Non-veg
fd8476,Veg Shahi Seekh Kebab,Veg
fd8477,Veg Hara Bhara Kebab (8 Pcs),Veg
fd8478,Paneer Malai Tikka (8 Pcs),Veg
fd8479,Tandoori Paneer Tikka (8 Pcs),Veg
fd8480,Pudina Paneer Tikka 98 Pcs),Veg
fd8482,Zafrani Paneer Tikka,Veg
fd8483,Achari Paneer Tikka,Veg
fd8485,Tandoori Chicken Tikka (8 Pcs),Non-veg
fd8486,Murg Mastana Tikka (8 Pcs),Non-veg
fd8487,Murg Malai Kebab (8 Pcs),Non-veg
fd8488,Murg Lahsuni Kebab (8 Pcs),Non-veg
fd8489,Murg Abu Chilli Kebab (8 Pcs),Non-veg
fd8490,Murg Afgani Kebab,Non-veg
fd8491,Chicken Reshmi Kebab (8 Pcs),Non-veg
fd8492,Tandoori Fish Tikka (6 Pcs),Non-veg
fd8493,Achari Fish Tikka (6 Pcs),Non-veg
fd8494,Ajwani Fish Tikka (6 Pcs),Non-veg
fd8495,Fish Malai Tikka (6 Pcs),Non-veg
fd8496,Tandoori Prawns (8 Pcs),Non-veg
fd8497,Chicken Seekh Kebab,Non-veg
fd8498,Murg Jalpari Kebab,Non-veg
fd8499,Murg Makhmali Seekh Kebab,Non-veg
fd8500,Mutton Seekh Kebab,Non-veg
fd8504,Veg Mushroom Hakka Noodles,Veg
fd8509,Chicken Schezwan Hakka Noodles,Non-veg
fd8510,Chicken Chilli Garlic Noodles,Non-veg
fd8513,Chicken Chopsuey,Non-veg
fd8514,Chinese Chopusey,Veg
fd8515,Chicken Chinese Chopsuey,Non-veg
fd8516,American Chopsuey,Non-veg
fd8521,Veg Mushroom Fried Rice,Veg
fd8523,Veg Spring Fried Rice,Veg
fd8524,Th Special Veg Mix Fried Rice,Veg
fd8526,Egg Spring Fried Rice,Non-veg
fd8527,Egg Schezwan Fried Rice,Non-veg
fd8529,Chicken Spring Fried Rice,Non-veg
fd8532,Prawns Schezwan Fried Rice,Non-veg
fd8534,Veg Kashmiri Pulo,Veg
fd8536,Kaju Peas Pulao,Veg
fd8543,Plain Tandoori Roti,Veg
fd8548,Butter Kulcha,Veg
fd8556,Veg Kadhai,Veg
fd8557,Veg Lazaikedaar,Veg
fd8558,Veg Hyderabadi,Veg
fd8559,Veg Navartna Korma,Veg
fd8560,Veg Jhalfrezi,Veg
fd8563,Aloo Dum Chatpata,Veg
fd8566,Paneer Kadhai,Veg
fd8573,Paneer Mirch masala,Veg
fd8577,Paneer Tikka Lababdar,Veg
fd8579,Paneer Angara,Veg
fd8586,Mushroom Kadhai,Veg
fd8587,Pindi Chole,Veg
fd8594,Omelette (3 Eggs),Non-veg
fd8596,Chicken Kasa with Bone,Non-veg
fd8597,Chicken Murg Mussallam with Bone,Non-veg
fd8598,Chicken Dehati with Bone,Non-veg
fd8599,Chicken Masala with Bone,Non-veg
fd8601,Chicken Butter Masala with Bone,Non-veg
fd8602,Boneless Chicken Butter Masala,Non-veg
fd8603,Chicken Do Pyaza with Bone,Non-veg
fd8604,Boneless Chicken Do Pyaza,Non-veg
fd8605,Chicken Lababdar with Bone,Non-veg
fd8606,Boneless Chicken Lababdar,Non-veg
fd8607,Chicken Kadhai with Bone,Non-veg
fd8608,Boneless Chicken Kadhai,Non-veg
fd8609,Chicken Punjabi with Bone,Non-veg
fd8611,Chicken Handi with Bone,Non-veg
fd8612,Boneless Chicken Handi,Non-veg
fd8613,Chicken Bhuna with Bone,Non-veg
fd8614,Boneless Chicken Bhuna,Non-veg
fd8615,Dhaniay Murgh with Bone,Non-veg
fd8616,Boneless Dhaniay Murg,Non-veg
fd8617,Boneless Chicken Bharta,Non-veg
fd8618,Boneless Murg Afghani,Non-veg
fd8619,Boneless Murgh Angara,Non-veg
fd8620,Boneless Murgh Keema,Non-veg
fd8624,Mutton Do Pyaza,Non-veg
fd8625,Mutton Bhuna,Non-veg
fd8627,Fish Masala with Bone,Non-veg
fd8628,Boneless Fish Masala,Non-veg
fd8629,Boneless Tawa Fish Masala (6 Pcs),Non-veg
fd8632,Prawns Lababdar,Non-veg
fd8633,Boneless Reshmi Butter Masala,Non-veg
fd8634,Boneless Chicken Tikka Butter Masala,Non-veg
fd8635,Boneless Chicken Tikka Punjabi,Non-veg
fd8636,Boneless Chicken Tikka Lababdar,Non-veg
fd8637,Boneless Chicken Tikka Hyderabadi,Non-veg
fd8638,Boneless Chicken Abu Chilli Masala,Non-veg
fd8639,Boneless Chicken Mastana Masala,Non-veg
fd8640,Tandoori Chicken Butter Masala with Bone,Non-veg
fd8641,Chicken Punjabi Tandoori with Bone,Non-veg
fd8642,Boneless Murgh Methi Malai,Non-veg
fd8643,Boneless Chicken Patiala,Non-veg
fd8647,Butter Ladka,Veg
fd8649,Mix Dal Tadka,Veg
fd8658,Mint Chutney,Veg
fd8662,Extra Momo Dip,Veg
fd8664,Veg Manchurian Roll,Veg
fd8667,Paneer Chilli Roll,Veg
fd8669,Chicken Roll (eggless),Non-veg
fd8671,Chicken Double Egg Roll,Non-veg
fd8673,Chicken Kebab Roll,Non-veg
fd8674,Chicken Double Egg Kebab Roll,Non-veg
fd8675,Chicken Hariyali Tikka,Non-veg
fd8677,Mutton Shami Kabab 2 Pcs,Non-veg
fd8678,Chicken Seekh Kabab Roll [2],Non-veg
fd8679,Mutton Keema Roll,Non-veg
fd8680,Single Egg Roll,Non-veg
fd8683,Hariyali Paneer Tikka,Veg
fd8684,Soya Malai Chhap,Veg
fd8685,Karahi Paneer,Veg
fd8687,Chicken Karahi,Non-veg
fd8688,Butter Chicken Bone,Non-veg
fd8690,Murg Musallam Full Chicken,Non-veg
fd8697,Lacha Paratha,Veg
fd8701,Veg Boondi,Veg
fd8703,Shahi Tukda,Veg
fd8704,Gulab Jamun 2 Pcs,Veg
fd8705,Mutton Nihari Combo,Non-veg
fd8706,Mutton Jhangiri Combo,Non-veg
fd8707,Mutton Korma Combo,Non-veg
fd8708,Mutton Khadai Combo,Non-veg
fd8709,Afgani Chicken Rumali Roti Combo,Non-veg
fd8710,Special  Butter Chicken Combo,Non-veg
fd8711,Chicken Korma Combo,Non-veg
fd8712,Khadai Chicken Combo,Non-veg
fd8713,Jhangiri Chicken Combo,Non-veg
fd8714,Special Chicken Handi Combo,Non-veg
fd8715,Chicken Afghani [4 Pcs],Non-veg
fd8716,Chicken Burra [4 Pcs],Non-veg
fd8717,Chicken Tikka [Boneless],Non-veg
fd8718,Chicken Malai Tikka [Boneless],Non-veg
fd8720,Crispy Chicken Bone,Non-veg
fd8721,Crispy Chicken Boneless,Non-veg
fd8724,Mutton Shahjani Kabab 2 Pcs,Non-veg
fd8725,Chicken Reshami Seekh Kabab [4 Pcs],Non-veg
fd8726,Chicken Garlic Seek Kabab [4 Pcs],Non-veg
fd8727,Chicken Kalimirch Seek Kabab[4 Pcs],Non-veg
fd8728,Chicken Malai Seek Kabab[4 Pcs],Non-veg
fd8729,Fry Chicken Lolipop  [6 Pcs],Non-veg
fd8730,Chicken Tandoori [Full Chicken] [8 Pcs],Non-veg
fd8731,Chicken Tandoori [Half Chicken] [4 Pcs],Non-veg
fd8732,Chicken Fry [Full Chicken] [4 Pcs],Non-veg
fd8733,Chicken Fry [Half Chicken] [4 Pcs],Non-veg
fd8734,Tandoori Platter [8 Pcs],Non-veg
fd8735,Chicken Seekh Kabab Roll [1],Non-veg
fd8737,Butter Chicken Roll,Non-veg
fd8738,Chicken Tikka Roll [1],Non-veg
fd8739,Mutton Seekh Kabab Roll,Non-veg
fd8740,Mutton Shami Kabab Roll,Non-veg
fd8742,Karims Mutton Roll,Non-veg
fd8749,Achari Aloo Tikka,Veg
fd8750,Veg Tandoori Platter [8 Pcs],Veg
fd8751,Paneer Tikka Kathi Roll,Veg
fd8752,Paneer Chilli Kathi Roll,Veg
fd8753,Soya Chhap Kathi Roll,Veg
fd8755,Butter Paneer,Veg
fd8758,Veg Chhap Masala,Veg
fd8764,Chicken Jhangiri,Non-veg
fd8766,Chicken Saag,Non-veg
fd8767,Chicken Seekh Masala,Non-veg
fd8768,Handi Chicken Special,Non-veg
fd8769,Chicken Lababdar Boneless,Non-veg
fd8770,Butter Chicken Boneless,Non-veg
fd8774,Mutton Jhangiri,Non-veg
fd8775,Karahi Gosht,Non-veg
fd8776,Aloo Gosht,Non-veg
fd8777,Dal Gosht,Non-veg
fd8779,Mutton Nehari,Non-veg
fd8783,Chicken Tawa Biryani,Non-veg
fd8785,Chicken Achari Tikka Biryani,Non-veg
fd8786,Butter Chicken Biryani,Non-veg
fd8788,Mutton Tawa Biryani,Non-veg
fd8792,Keema Nan,Veg
fd8794,Roghini Nan,Veg
fd8795,Khamiri Roti,Veg
fd8798,Sheermal,Veg
fd8800,Piyaz Kulcha,Veg
fd8803,Veg Pineapple,Veg
fd8804,Lassi Sweet,Veg
fd8805,Lassi Salt,Veg
fd8807,Phirni Ki Bahar,Veg
fd8814,Veg Talumeiun Soup,Veg
fd8815,Chinese Gravy,Veg
fd8816,Green Chutney,Veg
fd8818,Chiken Mastana,Non-veg
fd8820,Lahsuni Chicken Kabab,Non-veg
fd8821,Abu Chilli Chicken Kabab,Non-veg
fd8822,Chicken Tangri Kabab (2 Pcs),Non-veg
fd8826,Chikcen Lollipop,Non-veg
fd8831,Special Chilli Chicken,Non-veg
fd8832,Chicken Salt & Pepper,Non-veg
fd8833,Lmeon Chicken,Non-veg
fd8848,Schezwan Hakka Noodles (Veg),Veg
fd8849,Chilli Garlic Noodles (Veg),Veg
fd8850,Streamed Rice,Veg
fd8853,Veg Mix Fried Rice,Veg
fd8860,Spring Rice (Veg),Veg
fd8863,Paneer Do Piyaza,Veg
fd8866,Paneer Bharta,Veg
fd8879,Veg Butter Masala,Veg
fd8883,Punjabi Chana Masala,Veg
fd8884,Dal Tarka,Veg
fd8885,Butter Tarka,Veg
fd8894,Chicken Takatak,Non-veg
fd8896,Chicken Tikka Butter Masala (8 Pcs),Non-veg
fd8897,Chicken Punjabi Tandoori (4pcs),Non-veg
fd8898,Chicken Tikka Lababdar (8 Pcs),Non-veg
fd8899,Chicken Tikka Hyderabadi (8 Pcs),Non-veg
fd8900,Chicken Abu Chilli Masala (8 Pcs),Non-veg
fd8901,Chicken Mastana Masala (8 Pcs),Non-veg
fd8902,Chicken Patiala Special Boneless,Non-veg
fd8903,Special Chicken Kabab Masala,Non-veg
fd8904,Murg Masalam (8 Pcs),Non-veg
fd8905,Egg Curry (2 Pcs),Non-veg
fd8906,Egg Tarka,Non-veg
fd8907,Egg Masala (2 Pcs),Non-veg
fd8908,Egg Do Pyaza (2 Pcs),Non-veg
fd8912,Chiken Biryani,Non-veg
fd8913,Chicken Kabab Biryani,Non-veg
fd8917,Butter Nan,Veg
fd8918,Garlic  Nan,Veg
fd8923,Butter Tawa Roti,Veg
fd8926,Paneer Chilly Roll,Veg
fd8931,Chicken Kabab Roll,Non-veg
fd8932,Chicken Chilli Roll,Non-veg
fd8934,Veg Chicken Chop suey,Veg
fd8935,Chicken American Chop suey,Non-veg
fd8937,Bhakarwadi(250gm),Veg
fd8938,Min Samosa (200gm),Veg
fd8939,Kaju Fry (250gm),Veg
fd8940,Kaju Fry (100 Gm),Veg
fd8941,Kaju Fry (50 Gm),Veg
fd8948,Vegetable Chop,Veg
fd8950,Dhokla ( With Chutney ),Veg
fd8960,Mango Khoa Malai ( 5 Pc ),Veg
fd8961,Mango Steam Roll ( Per Piece),Veg
fd8962,Mango Rabri ( 1 Cup ),Veg
fd8963,Salted Lassi,Veg
fd8967,Methi Sohali (200gm),Veg
fd8968,Sohali Mathri (200gm),Veg
fd8969,Bangla Nimki Jar (400gm),Veg
fd8970,Special Nimki Jar(500 Gm),Veg
fd8974,Special Potato Chips(large),Veg
fd8975,Special Potato Chips(small),Veg
fd8976,Mix Mixture (200grams),Veg
fd8977,Fafda Ghatiya ( 250 Gm),Veg
fd8978,Jhal Muri ( 1 Glass Pack ),Veg
fd8979,Desi Bhuja (1 Glass Pack ),Veg
fd8983,Desi Ghee Soanpapdi 500 Gm,Veg
fd8986,Patisha Roll 200 Gm,Veg
fd8987,Rasgulla Chaat,Veg
fd8990,Sev Puri Chaat,Veg
fd8991,Dahi Puri Chaat (5 Pc),Veg
fd8992,Dahi Churmur Chaat,Veg
fd8993,Dahi Papdi Chaat,Veg
fd9001,Aloo Tikki Chat (full),Veg
fd9002,Kachori Chaat [full),Veg
fd9019,Chamcham(5 Pc),Veg
fd9022,Hot Gulab Jamun( 5 Pc ),Veg
fd9024,Mini Kala Jamun (250 Gm),Veg
fd9025,Sweet Boondi (250 Gm ),Veg
fd9026,Punjab Barfi(250 Grams),Veg
fd9041,Gangour Plain Papdi(250gm),Veg
fd9042,Petha Mithai ( 500 Gm),Veg
fd9045,Gangour Plain Papdi(500gm),Veg
fd9049,Khoa Chocochip Roll (250 Gm),Veg
fd9059,Chicken Cheesy Grilled Sandwich,Non-veg
fd9060,Veg Grilled Snadwich,Veg
fd9061,Paneer Cheesy Grilled Sandwich,Veg
fd9062,Paneer Maggi,Veg
fd9064,Dry Veg [8 Pieces] Momos,Veg
fd9065,Afghani Veg  [8 Pieces] Momos,Veg
fd9066,Afghani Chicken Momos,Non-veg
fd9067,Crispy Veg [8 Pieces] Momos,Veg
fd9068,Steam Veg [8 Pieces] Momos,Veg
fd9069,Crispy Chicken Momos,Non-veg
fd9070,Steam Chicken [8 Pieces] Momos,Non-veg
fd9073,Chilll Paneer,Veg
fd9078,Veg Cheesy Grilled Sandwich,Veg
fd9082,Chicken Maggi,Non-veg
fd9087,Special Veg Maggi,Veg
fd9088,Chocolate Momos,Veg
fd9091,Cocktail Veg [8 Pieces] Momos,Veg
fd9092,Acharl Veg  [8 Pieces] Momos,Veg
fd9093,Dry Paneer  [8 Pieces] Momos,Veg
fd9094,Afghani Paneer  [8 Pieces] Momos,Veg
fd9095,Cocktail Paneer  [8 Pieces] Momos,Veg
fd9096,Acharl Paneer  [8 Pieces] Momos,Veg
fd9097,Dry Chicken  [8 Pieces] Momos,Non-veg
fd9099,Cocktail Chicken  [8 Pieces] Momos,Non-veg
fd9100,Acharl Chicken  [8 Pieces] Momos,Non-veg
fd9101,Dry Chicken Tikka  [8 Pieces] Momos,Non-veg
fd9102,Afghani Chicken Tikka  [8 Pieces] Momos,Non-veg
fd9103,Cocktail Chicken Tikka  [8 Pieces] Momos,Non-veg
fd9104,Acharl Chicken Tikka  [8 Pieces] Momos,Non-veg
fd9106,Kadhai Veg [8 Pieces] Momos,Veg
fd9107,Pizza Veg [8 Pieces] Momos,Veg
fd9108,Chilli Veg [8 Pieces] Momos,Veg
fd9110,Crispy Paneer [8 Pieces] Momos,Veg
fd9111,Kadhai Paneer  [8 Pieces] Momos,Veg
fd9112,Pizza Paneer  [8 Pieces] Momos,Veg
fd9113,Chill Paneer  [8 Pieces] Momos,Veg
fd9114,Steam Paneer  [8 Pieces] Momos,Veg
fd9116,Kadhai Chicken [8 Pieces] Momos,Non-veg
fd9117,Pizza Chicken [8 Pieces] Momos,Non-veg
fd9118,Chill Chicken [8 Pieces] Momos,Non-veg
fd9120,Crispy Chicken Tikka [8 Pieces] Momos,Non-veg
fd9121,Kadhai Chicken Tikka [8 Pieces] Momos,Non-veg
fd9122,Pizza Chicken Tikka [8 Pieces] Momos,Non-veg
fd9123,Chilli Chicken Tikka [8 Pieces] Momos,Non-veg
fd9124,Steam Chicken Tikka [8 Pieces] Momos,Non-veg
fd9125,Fries,Veg
fd9127,Loaded Gravy Fries,Veg
fd9128,Loaded Cheesy Fries,Veg
fd9129,Peri Peri Loaded Cheesy Fries,Veg
fd9130,Dry Chaap,Veg
fd9132,Cocktail Chaap,Veg
fd9136,Chicken Penne Pasta ( Mix Sauce ),Non-veg
fd9137,Chicken Penne Pasta ( White Sauce ),Non-veg
fd9138,Veg Penne Pasta ( White Sauce ),Veg
fd9139,Veg Penne Pasta ( Red Sauce ),Veg
fd9140,Veg Penne Pasta ( Mix Sauce ),Veg
